run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
S029,scan,89,18.0,4.9444,0.2045,0.4034,8,1.708,22,75,0.24719,0.0674,5,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
S030,scan,110,18.0,6.1111,0.1651,0.3952,8,1.309,100,6,0.90909,0.0364,2,0,0,0,0,0,0,0,0,0,1,2,0,2,5,2,0,2,0,0,0,0,0
W001,web_attack,24219,92.0,263.25,0.0038,0.0866,821,2.848,1,2731,4e-05,1.0,2,0,0,0,0,0,0,0,0,2,24219,0,1,12,811,1,11,8,0,0,0,0,1
W002,web_attack,37742,96.0,393.1458,0.0025,0.0504,788,2.025,2,4359,5e-05,0.9658,2,0,0,0,0,0,0,0,0,2,1289,36453,1,11,2799,1,10,5,0,0,0,0,1
W003,web_attack,8842,95.0,93.0737,0.0107,0.3305,704,5.255,3,2283,0.00034,0.8117,4,0,0,0,0,0,0,0,0,2,7177,1664,1,23,2407,0,23,5,0,0,0,0,1
W004,web_attack,9,0.0,9.0,0.0,0.0,9,1.0,1,1,0.11111,1.0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
W005,web_attack,30,4.0,7.5,0.1379,0.5708,10,1.0,1,3,0.03333,1.0,2,0,0,0,0,0,0,0,0,3,30,0,3,0,0,0,0,0,0,0,0,0,1
W006,web_attack,41,6.0,6.8333,0.15,0.477,10,1.22,1,5,0.02439,1.0,2,0,0,0,0,0,0,0,0,4,41,0,4,0,1,0,0,0,0,0,0,0,1
W007,web_attack,32,6.0,5.3333,0.1935,0.6435,11,1.375,1,5,0.03125,1.0,2,0,0,0,0,0,0,0,0,3,32,0,3,0,2,0,0,0,0,0,0,0,1
W008,web_attack,23,6.0,3.8333,0.2727,0.7497,11,1.913,1,4,0.04348,1.0,2,0,0,0,0,0,0,0,0,2,23,0,2,0,2,0,0,0,0,0,0,0,1
W009,web_attack,42,11.0,3.8182,0.2683,0.6635,10,1.667,1,7,0.02381,1.0,2,0,0,0,0,0,0,0,0,3,42,0,3,0,3,0,0,0,0,0,0,0,1
W010,web_attack,72,13.0,5.5385,0.1831,0.5121,10,1.389,1,9,0.01389,1.0,2,0,0,0,0,0,0,0,0,7,72,0,7,0,2,0,0,0,0,0,0,0,1
